"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
11891	7681	810	90035571.5225911
12024	7769	834	86011304.0783673
12197	7912	893	91910700.308904
12116	7778	897	90906160.9399972
11684	7666	821	89542579.2741686
11898	7741	850	89312993.5434865
12102	7901	903	89177245.9821457
11752	7587	915	90713759.4803399
11708	7627	812	92119664.7855477
11678	7583	861	94347017.1238401
12357	8052	851	88479439.4049711
12071	7933	898	85523073.8237226
11961	7766	801	84760168.417246
11755	7683	881	86251861.9992872
12189	7892	827	95171931.4445814
11474	7564	777	89619932.4039908
12132	7980	891	86427028.7652231
11988	7827	719	93641041.5758863
11996	7735	847	93550665.2044832
11827	7682	876	99643282.7722816
11388	7379	905	89986287.7378531
11921	7774	873	85687211.1147003
11752	7604	849	90147275.0847692
11966	7706	843	87826670.9098073
11698	7543	806	89952357.9118214
11911	7741	830	86272920.4265683
11921	7757	791	91097233.3917932
11308	7366	864	87710493.2329816
12157	7932	880	84883295.0572358
11791	7750	770	93638723.7888806
12017	7857	899	91840278.9913953
11873	7807	859	86769239.2470637
12181	7865	848	91497987.1124372
11964	7955	845	87770347.5434409
11704	7706	869	90401155.068468
11941	7879	856	88628708.1512646
11493	7436	846	91173247.7417196
11512	7417	826	85519946.6407322
11623	7487	801	83303019.6282825
12255	7930	866	102249055.743517
12001	7778	849	84632014.4850541
11826	7665	881	90801627.748029
11525	7426	821	94376572.7875739
11516	7509	793	88818646.3285401
12067	7835	894	94746625.1831429
11975	7733	850	87501676.6319611
11969	7708	816	99962281.0018824
11883	7717	841	91085890.2482859
12018	7791	848	85491070.4999774
11736	7715	839	91642460.1888551
11395	7411	767	86452677.9684726
11784	7719	813	99350608.6274298
11538	7586	847	97175454.6616539
11836	7745	893	91205988.9633471
11855	7782	863	93504294.5305217
11776	7597	798	88570376.8012451
11807	7735	869	92632994.621607
12116	7739	909	92917319.0564031
12012	7798	883	97412676.0244686
11756	7709	948	97158245.8859563
11819	7687	853	94284486.3563442
11844	7635	905	90330875.2535096
11826	7653	925	89143394.1929909
11925	7786	866	86868906.204395
11642	7528	868	91594865.0942511
11942	7739	836	87424875.0927383
11733	7595	828	89649484.4563658
11792	7711	814	91566730.0720575
11895	7773	916	93661837.3193896
11681	7458	877	96293281.2638689
11652	7565	871	87019235.4462045
11886	7691	859	93056921.8163381
11787	7714	796	90027474.3482739
12112	7844	930	90072048.48062
11929	7782	822	92909657.9430563
11613	7576	835	86869888.4649267
12298	8104	890	87284127.0709547
12302	7966	841	91018079.8323429
11613	7624	844	97003476.0543041
11839	7816	831	85786595.6139125
11645	7529	859	96162010.6044806
11948	7806	831	95287986.8519335
11655	7435	750	99677485.08693
11912	7529	871	87985404.7508984
11916	7628	919	97934129.6699512
11958	7761	858	89440415.0825779
11664	7518	806	84240054.2405339
11692	7784	918	89293723.9485077
11686	7567	798	97313671.5879784
11890	7633	857	85076521.8455821
11833	7675	803	87102615.0393707
11927	7595	864	91025649.9022469
11932	7742	859	89955341.8615161
12008	7759	867	90106253.4276637
11611	7624	824	90750705.9605502
11209	7310	818	97881515.1362251
12488	8157	949	91310016.164816
11760	7623	819	86003259.1269445
11210	7281	851	86980264.210443
11578	7520	836	85519047.4794153
11655	7477	780	92834247.0166461
11870	7734	828	88167042.4020752
11413	7493	844	96312326.3563349
12102	7892	879	87347462.7295678
11921	7648	833	92124155.3111587
11850	7630	801	89938295.7463913
11972	7686	848	87273136.9376368
12264	7908	888	86817480.4250041
11782	7661	842	90843584.2251342
12109	7849	818	87407383.0162448
11885	7666	825	96803430.5359048
11861	7758	873	93877007.0615299
12136	7791	884	86434997.0781937
11664	7613	944	90925521.0797692
11972	7798	919	97303741.9613133
11478	7489	771	90422120.8032469
12235	7905	985	92889897.3208467
11858	7707	789	92932731.610526
12031	7785	879	88023500.1545729
11685	7509	808	85292927.1352542
12371	7979	907	87781143.3011311
12268	8037	906	90374358.3182288
11473	7547	846	87099137.9465627
11441	7452	823	93162145.697954
12038	7714	885	85777351.7531144
11864	7629	853	88643958.8248116
11761	7608	823	87666164.7121125
11578	7681	801	92377659.5873985
12041	7755	878	92002490.0620532
11825	7625	853	88236074.7401365
12009	7888	822	96849931.3659307
11753	7642	744	89900828.7842036
11495	7385	834	88821531.3513174
12078	7878	889	85423703.329144
12411	7828	794	92545090.2790264
11245	7365	818	88630990.913812
12131	7923	882	87356432.7432384
11721	7542	825	86449712.6261176
11771	7584	836	91582531.5729501
11506	7464	736	92422821.4297788
11895	7632	795	85929383.8869707
11391	7487	804	88212904.7596439
11632	7423	878	87053662.6860782
11985	7748	870	90968590.2030397
11798	7746	861	92764492.7385976
11458	7479	821	93229304.7738534
11678	7579	811	91419582.8335566
11740	7543	826	93006294.4999185
12042	7777	809	90269250.6793098
11952	7695	749	88172409.83596
11887	7748	857	85305037.8594388
11433	7456	879	94107795.5817256
11234	7249	823	85821872.8817156
11992	7768	846	101392719.122419
12149	7958	855	88513872.5903453
11903	7532	875	90820034.6197445
11550	7367	766	93765042.5041823
12044	7879	850	91759115.3439946
11836	7606	791	88351434.2889599
11657	7504	863	81881271.8342966
12087	7857	842	98134376.1286756
11544	7537	799	86917895.978045
11808	7635	846	90607017.4929696
11883	7731	936	89627665.494026
12081	7796	823	85574270.2246139
11774	7641	864	94934730.6448133
12130	7842	800	80832217.6043158
11668	7669	789	95925191.852928
12109	7836	841	94698295.0540353
11713	7713	824	88465054.8246341
11709	7651	839	97180940.2142633
11585	7529	853	88233446.4244003
11822	7647	823	91981418.8860876
12025	7837	863	102721459.822005
11730	7513	851	90785580.199909
12137	7834	906	87122180.3022277
12332	7985	846	92949109.5413204
11838	7706	950	94518365.3622815
11992	7728	864	84115695.294142
11820	7659	851	87486518.0548224
12047	7882	887	90002711.367541
11919	7801	824	92358429.3149129
12101	7849	914	89924278.1414484
11555	7569	854	87987419.9392917
12212	8023	840	92214227.4827061
11693	7509	713	88570959.4841824
11951	7776	881	96325055.2560748
11515	7547	745	85597990.2388925
12092	7827	814	86148341.0863742
11668	7507	860	88806167.0796883
12255	7829	821	100016439.962738
12284	7821	895	98539243.7880309
11966	7836	892	93126586.5206559
11622	7537	823	95897510.4385233
12156	7911	925	88017584.0573331
11706	7649	827	93705159.3015875
12137	7821	926	92071387.2980728
11885	7774	858	90128052.809387
12062	7780	817	92043562.43781
12062	7911	824	86413183.6395233
11878	7666	799	85213688.1929225
11767	7631	847	88585873.6746582
11920	7675	862	90313692.2193684
11961	7815	857	93895817.4183388
11909	7562	807	90732528.2246686
12032	7839	880	91489137.5053312
12053	7873	812	98556159.808546
11805	7706	811	96283457.4276318
11985	7784	864	90045098.2571489
12166	7953	806	96547295.8701986
11780	7676	907	86662229.2064493
12124	7886	906	93710205.7513402
11678	7588	816	90102328.4427627
11961	7776	802	93074101.0298822
11735	7805	853	87188854.4420324
11816	7730	828	95811911.8740073
11436	7482	807	92723343.8065312
11715	7628	820	93611055.7374156
11832	7590	792	91473934.5842526
12084	7839	915	86592665.1337712
11556	7515	832	86951764.1946284
11130	7292	777	97680755.7759868
11532	7398	809	85690888.1219902
11972	7777	914	92666721.1137024
12270	7949	846	87556989.6847392
11182	7346	807	87857352.3758096
12124	7993	850	92338345.4924523
12129	7854	899	91190704.4693326
12169	7870	892	82963171.8859571
12027	7795	818	95856273.4640339
11865	7707	887	98907830.4154122
11705	7598	784	94769437.1277566
12160	7849	842	90260931.1785583
11953	7789	789	89812852.3196024
11278	7383	743	90086463.1658824
11768	7686	890	88865432.910549
11780	7663	847	83477970.023182
12196	8014	903	89569420.382805
11873	7761	856	93878981.2300786
12132	7896	880	91269328.0990727
11733	7764	853	89505008.147766
11704	7529	778	86784781.4928546
12050	7852	838	87672955.4579004
