"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
12105	634	37	11415069.6616662
11920	582	30	8992319.63099406
12183	632	31	9685265.8805356
12110	624	30	8194237.1905029
12168	612	34	11474883.5121802
11688	630	36	8830544.31356708
11845	643	36	10163690.0475465
11971	622	38	10278489.1052438
12104	598	33	11680969.5907611
11634	604	25	10238972.1449128
11564	620	35	11098578.0823307
11954	666	36	9309028.37017732
12005	645	34	9211616.68460312
11354	640	29	11520181.2562501
11462	588	33	9176697.22884368
11873	605	30	8594407.90344759
11726	685	35	10399470.576478
11505	623	35	10513403.4799697
11590	620	31	11315446.7081769
11954	601	31	9947282.00819388
11860	615	33	11473882.2796827
12028	644	30	9411721.85061412
11323	588	34	12485945.3038562
11754	603	34	9520355.90171723
11750	591	34	9121472.27085902
12339	628	35	9415446.25549263
11626	611	27	9735289.45315932
11717	624	34	8776366.34814681
11723	639	31	10685165.3099028
12010	643	34	8961355.7918743
11704	680	36	10905381.906174
12181	576	28	10320894.0586883
11585	582	33	9016360.75695163
11746	629	29	12255361.510021
11834	631	34	9055389.71155245
11599	629	35	11399489.7126065
12136	635	32	9291528.08013981
11824	644	31	10147753.0926411
11416	614	27	11216907.5885983
11462	596	33	8458719.06293189
12064	664	37	10547469.3030789
11757	606	33	10083170.4303209
11984	665	35	10317080.9513997
12359	646	34	10011022.9116833
11719	616	29	9861563.05817937
11734	606	33	9698241.99782339
11844	576	33	11019810.8094907
11584	610	28	13207055.120779
11674	593	29	10014489.9713419
12092	623	33	11577225.2605043
11725	633	34	10575663.1283852
11405	628	31	10261212.1595432
11539	618	37	11546415.3542324
11798	622	34	12825031.2435334
11481	620	38	12543210.6007697
12083	595	29	11532122.0882417
12204	593	30	9519013.70294215
11794	592	30	10464937.3366721
11669	583	31	11883975.7691357
11613	642	32	9753599.89828998
11666	641	34	10843572.2026727
11566	647	31	9206321.91928861
11485	647	31	11933579.9112243
12358	659	36	10107223.3956212
11462	645	31	10587999.1879221
12179	623	32	9340339.00632889
11358	629	30	10218496.0865726
11819	628	33	10179392.0260689
11998	625	33	9759535.68505101
12115	596	33	9202433.72683966
11406	567	30	11076719.7090174
12081	644	32	10539404.3196563
11748	652	32	11611968.1896349
11846	607	32	11005154.4102881
11967	601	31	9648612.94581273
12125	617	27	9342057.80194037
12103	627	33	9049835.4392743
11845	526	30	9099807.42316432
11949	599	36	9020224.22613153
11799	609	29	9710532.32889971
11662	625	34	12976150.2900886
12109	670	36	8984951.88848064
11380	590	33	9418009.47266036
11765	638	35	11693884.4272519
12170	634	36	10912453.6409755
11945	592	33	10560435.3213067
11524	610	32	9397072.1944384
11822	646	32	11242143.0793835
11954	590	35	8976154.0016549
11634	598	29	12006564.5953169
11453	596	31	9723863.8507478
11745	616	34	11232923.8895962
11757	655	38	13409195.4397742
11845	632	36	11472786.1777861
11937	629	34	9175549.49726512
12134	574	35	10001815.7542822
11796	607	34	9070857.98309756
12246	633	34	9427372.71114163
11951	648	35	9772175.92743396
12053	621	35	10382138.8718495
11852	612	34	10255554.506041
11938	605	35	10272660.9907892
12057	615	30	10191643.8159378
11995	632	33	10964919.0184188
12067	610	34	9620402.36171483
11803	612	34	9809748.59957054
12132	639	35	9652031.89973683
11741	593	31	9137246.68760769
11721	638	29	9511939.60678907
12003	555	31	10457720.5950081
11462	624	33	10757660.5539588
11919	631	36	9449319.73092422
11842	594	30	9382663.29174216
11669	621	36	9785218.37451484
11351	588	34	10696567.773738
11613	606	30	10551339.320601
11598	613	25	9660531.03140576
11454	615	35	8252004.9142467
11949	627	35	10566418.92923
12463	630	34	8637269.98189239
11642	657	36	10612904.1713725
12076	632	33	9472520.51883727
12013	593	32	9707973.34591621
11709	613	32	10183906.3577994
11864	611	31	9857688.86814552
11467	598	30	10128188.7911678
12009	638	31	8531562.22379109
11487	620	34	9798728.59840427
11914	601	30	9111537.31610527
11816	663	32	9155717.7619835
12114	606	32	9833811.48020478
11408	654	32	11289355.5222714
11622	655	34	11794796.1626519
11760	617	33	11320220.6990069
12233	647	35	10284818.0517778
12187	631	29	9413365.62219616
11452	627	35	10134449.9125573
12055	653	32	10904220.9563968
12227	617	32	9644348.22161256
11797	613	35	10759450.892186
11584	612	33	10946595.6022586
12205	584	32	9610818.93589067
11988	625	36	9049059.15475689
11887	624	33	10329796.4218829
12019	668	33	10763023.2460111
11694	587	30	9495988.48262144
11839	619	33	9405995.78656981
12188	651	30	9843924.51758029
11740	591	36	9930043.9061852
11371	643	35	10096289.7007401
12292	647	29	11189769.7825648
11866	615	29	11381167.694749
11665	633	37	10059527.872121
11936	662	34	10859938.0452942
12046	638	38	9484059.31167173
11660	633	31	9771851.20195496
11635	650	33	11504002.0893837
11646	617	31	10194172.8559883
12283	639	29	10805469.8102
11772	593	35	11255428.1919279
11955	634	35	10426337.1394286
11737	645	33	8010781.95989285
12073	634	31	9499695.84394814
12343	624	32	9211051.8089418
12120	606	32	10020562.7676213
11731	619	35	10919920.4854308
11888	626	35	9861543.85520985
12195	642	32	10298697.9354518
11777	602	31	11049955.1844658
11616	629	34	9019407.70073171
12205	602	30	11544226.9364178
11738	647	35	9027756.66619305
11793	645	32	10503939.1846006
11804	610	34	9080641.9442384
11900	604	34	11991934.7340512
11616	613	32	10674028.9160375
11908	639	34	10636008.4154395
11705	626	33	12089506.9331616
12087	653	32	10430655.1356701
11711	616	36	9566440.52431647
11987	598	35	9826155.57747245
12065	623	33	9334624.34819948
11898	584	32	10059599.6256033
11369	612	29	10800300.5182607
11771	634	36	10576634.5906325
12171	605	31	9746890.32192681
11810	614	38	9765585.15415807
11920	613	35	10202677.6694241
11912	635	32	9428150.29623935
11816	665	34	11162005.1815511
11613	616	31	9384032.34883065
11976	630	34	8453414.90034541
11668	618	32	11921163.3094828
11944	663	35	10010358.8631018
11709	644	37	9834350.08409315
12446	613	33	8805528.05122172
11677	631	31	10736955.7291806
11813	609	29	10107954.749927
11812	625	30	10597382.8512164
11898	634	35	9313972.45835252
12054	620	33	11267511.0124784
11448	590	29	9760398.31184103
12079	637	34	8764704.63534653
12315	653	32	9479203.33845555
11429	613	37	9666779.75187528
12022	612	31	10894711.7402477
11710	611	32	11444964.9517993
11468	609	33	10068912.6509192
11691	613	35	9548924.48945262
11573	593	35	8409614.09723041
11820	613	35	9629039.57992531
12377	647	36	9239381.95117026
11603	636	29	10097121.6856021
11986	630	36	10151026.5666656
12036	588	29	9660866.73581384
12196	618	35	11951747.9686647
11702	622	32	10988858.0616571
11778	644	31	9970447.40813191
12043	609	35	10386924.2315323
12032	646	38	11273059.2149521
12014	649	35	8819073.28134651
11878	647	31	9272417.7051536
12190	654	40	10207104.4471353
11922	622	31	10483623.1105623
11731	624	36	9746213.85384665
12340	646	35	8373229.44338525
11976	590	33	10171740.2421304
11775	612	34	9653888.15641098
12118	608	34	11086608.9346436
11661	620	31	9516134.59813653
12194	643	34	8396625.23568287
11671	608	26	11931770.9042545
12494	653	39	9779789.34944359
11502	590	33	11078643.8752584
11424	586	32	10071322.9547299
11316	620	36	9195433.24254314
11810	651	35	10470590.4343029
11188	588	34	9950531.80790617
11964	566	33	9582232.76428049
11831	621	32	10743576.5019363
11841	592	33	8039566.05771054
11913	636	27	9408350.49732143
11946	635	31	11091026.7323586
11696	612	33	10455697.5374069
11246	565	32	13089407.1049228
12004	631	31	8288666.87790091
11856	644	33	9771203.90888711
11678	650	35	9450135.35979516
11903	655	31	9304863.99910384
12080	653	34	9456029.23052845
11812	608	34	8860680.93862645
11696	632	34	9464800.27633749
11570	595	31	10679528.5856689
11728	599	30	10080088.6984848
12300	597	32	10467787.3341564
11736	620	35	11680444.8445032
11721	625	31	10542040.8863196
11848	600	29	9626241.71078633
11746	582	29	9890659.28892795
11831	620	34	10074219.9776217
12147	608	35	9660273.67932924
11570	608	34	10074401.586939
12104	637	31	9566402.78169113
11882	628	35	10305058.3254606
11999	618	30	9800232.36874536
12197	632	37	9584044.19415571
11828	662	31	9948284.89846712
11936	615	34	11429507.2675985
11557	596	33	12400848.1374787
11210	614	37	11020848.6860021
11535	629	33	10365303.66
11616	632	33	9475134.33084899
11473	624	34	10435631.4351419
11620	646	35	10621994.7487258
12200	624	33	9955932.5960492
11589	614	33	10080761.9530812
11639	602	33	11187606.5979534
11715	604	32	10810903.737696
12354	606	34	10958871.9314613
11654	617	32	10387056.0762243
11876	580	32	10778240.288823
11914	613	33	8694582.71322665
11896	620	32	10591271.1595135
11724	610	25	9928169.49120454
11680	655	32	9451064.40882444
11839	610	29	9343907.75561548
11243	619	29	12693832.0898104
11996	632	37	11040014.4132205
11661	589	36	10829008.7465475
12010	608	31	11465687.3422577
11512	606	36	10210111.8148794
11572	629	33	10474090.0170863
11506	620	32	10840051.6817976
11683	641	33	11619515.0266033
11730	594	33	10091894.7935945
11780	630	32	10481264.8221449
11534	623	33	10966904.6254515
11867	621	33	8747322.13513338
11930	602	30	10555513.8172519
11580	580	30	11600670.6683091
11728	634	40	8843332.54205403
11647	637	34	9885310.8851761
11821	614	30	11789366.7371988
11106	638	38	11686543.6418337
12015	601	33	9195569.40897696
11907	603	37	10004005.328661
